Reference (Asli),Prediction (Whisper),Is_Error,Reference (Normalized),Prediction (Normalized)
hi hello I just need to deposit money into my account please,hello I just need to deposit money into my account please,True,hi hello i just need to deposit money into my account please,hello i just need to deposit money into my account please
is there a limit of how much I can watch,how much I can withdraw from,True,is there a limit of how much i can watch,how much i can withdraw from
I need information about a business phone,I need information about a business loan,True,i need information about a business phone,i need information about a business loan
I wanted to pay a large amount but I wanted to also verify that the confirmation code that I'm receiving via text message is actually coming from the bank,I wanted to pay a large amount but I wanted to also verify that the confirmation code didn't receiving via text message is actually coming from the bank,True,i wanted to pay a large amount but i wanted to also verify that the confirmation code that im receiving via text message is actually coming from the bank,i wanted to pay a large amount but i wanted to also verify that the confirmation code didnt receiving via text message is actually coming from the bank
he to update my address,I need to update my address,True,he to update my address,i need to update my address
what's the most amount of money I can withdraw at one time and during an entire day from an ATM machine,the most amount of money I can withdraw at one time and during an entire day from an ATM machine,True,whats the most amount of money i can withdraw at one time and during an entire day from an atm machine,the most amount of money i can withdraw at one time and during an entire day from an atm machine
open up a joint account with my partner,how am I looking up a joint account with my partner I'm also wondering how to do that,True,open up a joint account with my partner,how am i looking up a joint account with my partner im also wondering how to do that
I would like to change my address what is the fossil situation thank you,I'd like to change my address what is the process of doing,True,i would like to change my address what is the fossil situation thank you,id like to change my address what is the process of doing
I'm going to be needing someone to stop my card right now can they freeze it for me please,I'm going to be meeting someone to stop my card right now can you freeze it for me please,True,im going to be needing someone to stop my card right now can they freeze it for me please,im going to be meeting someone to stop my card right now can you freeze it for me please
change my dress,can I change my address,True,change my dress,can i change my address
hello can you show me my direct debits please,hello can you show me my direct debit please,True,hello can you show me my direct debits please,hello can you show me my direct debit please
how much money can I withdraw per day from the ATM,how much money can I withdraw per day from ATM,True,how much money can i withdraw per day from the atm,how much money can i withdraw per day from atm
I'm having some fun and I'm wondering if you are able to freeze it,I've seen some fraudulent transactions in my car and I wondering if you are able to phrase it,True,im having some fun and im wondering if you are able to freeze it,ive seen some fraudulent transactions in my car and i wondering if you are able to phrase it
I was wanting to change my address please,hello I was wanting to change my address please,True,i was wanting to change my address please,hello i was wanting to change my address please
cuz I want to see my latest transactions on my account can you please show me them this is yes yes yes I would do recognize that,hi I'm calling because I'm going to see my latest transactions on my account can you please show me them,True,cuz i want to see my latest transactions on my account can you please show me them this is yes yes yes i would do recognize that,hi im calling because im going to see my latest transactions on my account can you please show me them
I need to place a freeze on my card I have reason to believe that it has been stolen or I have misplaced it,I need to place a freeze on my card I have reason to see if I can get it,True,i need to place a freeze on my card i have reason to believe that it has been stolen or i have misplaced it,i need to place a freeze on my card i have reason to see if i can get it
I couldn't withdraw money from an ATM for murdering what the max amount I can take out from ATM,I'd like to withdraw money from an ATM I'm wondering what my max amount I can take out,True,i couldnt withdraw money from an atm for murdering what the max amount i can take out from atm,id like to withdraw money from an atm im wondering what my max amount i can take out
hi I can't use my car because it doesn't work I don't know why my payment was declined and you help,I can't use my car because it doesn't work I don't know why my payment was declined can you help,True,hi i cant use my car because it doesnt work i dont know why my payment was declined and you help,i cant use my car because it doesnt work i dont know why my payment was declined can you help
I have to pay bill make payment,I have to pay bills make payment my credit card you do,True,i have to pay bill make payment,i have to pay bills make payment my credit card you do
deposit money into my account how can I do that,I'd like to deposit some money into my account,True,deposit money into my account how can i do that,id like to deposit some money into my account
transfer money to the account,my transfer money to the account,True,transfer money to the account,my transfer money to the account
hello GIF I'm going cuz my card got stolen I would like to stop all transactions for my car completely,hello yes I'm going to see my card good phone,True,hello gif im going cuz my card got stolen i would like to stop all transactions for my car completely,hello yes im going to see my card good phone
hi I have a bill to pay,I have a bill to pay,True,hi i have a bill to pay,i have a bill to pay
how to deposit money,how to deposit money into my account,True,how to deposit money,how to deposit money into my account
hi I need to pay kind of a big amount of money,I need to pay kind of a big amount of money,True,hi i need to pay kind of a big amount of money,i need to pay kind of a big amount of money
business loan,can I get a new business loan,True,business loan,can i get a new business loan
hi there I wanted to inquire about Black Sabbath and see how I want to tell me my direct debit,I wanted to inquire about direct debits and see how I want to show me my direct debits,True,hi there i wanted to inquire about black sabbath and see how i want to tell me my direct debit,i wanted to inquire about direct debits and see how i want to show me my direct debits
could you please freeze my card and make sure no transaction happens melim,could you please freeze my card and make sure no transactions happen from now on,True,could you please freeze my card and make sure no transaction happens melim,could you please freeze my card and make sure no transactions happen from now on
I'm having trouble understanding what a direct debit is to provide through Clarity and information for me,I'm having trouble understanding what a direct debit is you provide some clarity and information for me,True,im having trouble understanding what a direct debit is to provide through clarity and information for me,im having trouble understanding what a direct debit is you provide some clarity and information for me
hi I'm trying to make a large payment online and isn't getting us I don't know what it is and I don't know what they're supposed to do can you help me please,I'm trying to make a large payment online and it doesn't get any text message I don't know what SMS message is,True,hi im trying to make a large payment online and isnt getting us i dont know what it is and i dont know what theyre supposed to do can you help me please,im trying to make a large payment online and it doesnt get any text message i dont know what sms message is
hello yes I'm calling in regards to my credit card bill at a little bit early if I could that would be great thank you,hello yes I'm calling in regards to my credit card bill I'd like to pay it a little bit early if I could that would be great thank you,True,hello yes im calling in regards to my credit card bill at a little bit early if i could that would be great thank you,hello yes im calling in regards to my credit card bill id like to pay it a little bit early if i could that would be great thank you
oh yeah I was wondering if you guys could help me find my account balance,I was wondering if you guys could help me find my account balance,True,oh yeah i was wondering if you guys could help me find my account balance,i was wondering if you guys could help me find my account balance
I'm hoping you can help me I can't access my account it just says that the app is being serviced,I'm hoping you can help me I can't access my account it just says that the app is being served,True,im hoping you can help me i cant access my account it just says that the app is being serviced,im hoping you can help me i cant access my account it just says that the app is being served
hi I was wondering what the maximum ATM withdrawal limit,hi I was wondering what the maximum ATM withdrawal limit is,True,hi i was wondering what the maximum atm withdrawal limit,hi i was wondering what the maximum atm withdrawal limit is
calling in regards to a question that I have for a new loan,I'm calling in regards to a question that I have for a new loan,True,calling in regards to a question that i have for a new loan,im calling in regards to a question that i have for a new loan
I'm trying to make a large payment online and it says loc confirmation through text,I'm trying to make a large payment online in its Sibelas,True,im trying to make a large payment online and it says loc confirmation through text,im trying to make a large payment online in its sibelas
I'm making a large purchase and I'm trying to use the confirmation code that I received through text message,I'm making a large purchase and I'm trying to use the confirmation code that I received through a text message,True,im making a large purchase and im trying to use the confirmation code that i received through text message,im making a large purchase and im trying to use the confirmation code that i received through a text message
slow on my card doesn't work I'm able to withdraw anything my account,my card doesn't work I'm able to withdraw my account,True,slow on my card doesnt work im able to withdraw anything my account,my card doesnt work im able to withdraw my account
why do I keep getting these text messages I just want to pay off my balance,how do I keep getting text messages I just want to pay off my balance,True,why do i keep getting these text messages i just want to pay off my balance,how do i keep getting text messages i just want to pay off my balance
trying to make a high price payment and I'm getting these texts,I'm trying to make a high-priced payment and I'm getting these texts,True,trying to make a high price payment and im getting these texts,im trying to make a high-priced payment and im getting these texts
hi I am trying to make a big payment online and it says I'll get a text message from you guys to confirm my identity so I guess I'm standing by whenever you send it I'll be,hi I am trying to make a big payment online and it says I'll get a text message from you guys to confirm my identity so I guess I'm standing by whenever you send it I'll be here,True,hi i am trying to make a big payment online and it says ill get a text message from you guys to confirm my identity so i guess im standing by whenever you send it ill be,hi i am trying to make a big payment online and it says ill get a text message from you guys to confirm my identity so i guess im standing by whenever you send it ill be here
mobile payments that I don't know can you show me all of my recent transactions,couple payments that I don't know he's shown me all of my recent transactions,True,mobile payments that i dont know can you show me all of my recent transactions,couple payments that i dont know hes shown me all of my recent transactions
I'm going to speak volumes about how I actually go about putting money into my account is transferred to somehow Wells Fargo money order,I'm just going to see some guys about how I actually go about depositing money into my account,True,im going to speak volumes about how i actually go about putting money into my account is transferred to somehow wells fargo money order,im just going to see some guys about how i actually go about depositing money into my account
